Bayer Name,Common Name,Apparent V Mag,Distance,Absolute V Mag,Color,Near/Bright
Wolf 424,,12.47,4.39,14.26,1.84,Near
Van Maanen's Star,,12.37,4.32,14.19,0.55,Near
Gliese 1,,8.56,4.35,10.37,1.46,Near
TZ Arietis,,12.3,4.47,14.05,1.8,Near
Gliese 674,,9.41,4.55,11.12,1.56,Near
Gliese 687,,9.15,4.55,10.86,1.5,Near
LHS 292,,15.78,4.56,17.48,2.1,Near
Gliese 440,,11.51,4.64,13.18,0.22,Near
Gliese 1245 A,,13.13,4.69,14.77,2.18,Near
Gliese 1245 B,,13.99,4.66,15.65,1.98,Near
Gliese 1245 C,,16.75,4.69,18.39,2.18,Near
Gliese 876,,10.19,4.68,11.84,1.56,Near
LHS 288,,13.92,4.84,15.5,1.82,Near
Gliese 1002,,13.84,4.85,15.41,1.97,Near
Groombridge 1618,,6.61,4.87,8.17,1.33,Near
Gliese 412 A,,8.68,4.85,10.25,1.59,Near
Gliese 412 B,,14.45,4.9,16,2,Near
Gliese 832,,8.67,4.97,10.19,1.51,Near
AD Leonis,,9.52,4.97,11.04,1.3,Near
Gliese 1005,,11.48,4.99,12.99,1.71,Near
40 Eridani A,,4.43,4.98,5.94,0.82,Both
40 Eridani B,,9.52,4.98,11.05,0.03,Near
40 Eridani C,,11.17,4.98,12.68,1.67,Near
Gliese 682,,10.95,5.01,12.45,1.64,Near
EV Lacertae,,10.26,5.05,11.74,1.59,Near
70 Ophiuchi,,4.03,5.08,5.5,0.86,Both
EI Cancri,,13.72,5.26,15.11,1.86,Near
GJ 3379,,11.31,5.21,12.73,1.66,Near
Gliese 445,,10.8,5.26,12.2,1.94,Near
LHS 1723,,12.2,5.38,13.55,1.72,Near
Wolf 498,,8.5,5.44,9.82,1.39,Near
Stein 2051 A,,10.98,5.54,12.26,1.65,Near
Stein 2051 B,,11.19,5.52,12.48,0.31,Near
Wolf 294,,10.11,5.59,11.38,1.36,Near
LP 816-60,,11.46,5.61,12.71,1.57,Near
Wolf 1453,,7.97,5.7,9.19,1.47,Near
Sigma Draconis,,4.68,5.75,5.88,0.78,Both
Gliese 229,,8.13,5.76,9.33,1.48,Near
Ross 47,,11.51,5.79,12.7,1.62,Near
Gliese 570 A,,5.72,5.88,6.87,1.11,Both
Gliese 570 B,,8.07,5.93,9.21,1.49,Near
Gliese 693,,10.78,5.89,11.93,1.64,Near
Gliese 908,,8.99,5.9,10.13,1.44,Near
Gliese 754,,12.23,5.91,13.37,1.7,Near
Gliese 752 A,,9.12,5.91,10.26,1.51,Near
Gliese 752 B,,17.3,5.92,18.44,2.12,Near
Gliese 588,,9.31,5.92,10.45,1.51,Near
Eta Cas A,,3.44,5.95,4.57,0.58,Both
Eta Cas B,,7.51,5.93,8.65,1.39,Near
GJ 1005,,11.48,4.99,12.99,1.71,Near
36 Ophiuchi A,,5.08,5.96,6.2,0.85,Both
36 Ophiuchi B,,5.03,5.96,6.15,0.85,Both
36 Ophiuchi C,,6.34,5.95,7.47,1.16,Both
YZ Canis Minoris,,11.23,5.99,12.34,1.6,Near
HR 7703,,5.32,6.02,6.42,0.12,Both
82 Eridani,,4.27,6.04,5.36,0.71,Both
Gliese 268,,11.52,6.07,12.6,1.74,Near
Delta Pavonis,,3.56,6.11,4.63,0.76,Both
Gliese 784,,7.97,6.16,9.02,1.45,Near
G 240-72,,14.15,6.21,15.18,0.4,Near
Gliese 555,,11.32,6.25,12.34,1.6,Near
EQ Pegasi,,10.17,6.18,11.21,1.58,Near
Gliese 581,,10.56,6.3,11.56,1.2,Near
ADS 7251,,7.64,6.33,8.63,1.41,Near
LHS 2090,,16.1,6.38,17.08,1.2,Near
HD 155876,,9.52,5.98,10.64,0.73,Near
LP 944-20,,18.69,6.42,19.65,1.48,Near
HN Librae,,11.32,6.25,12.34,1.6,Near
LHS 337,,12.74,6.67,13.62,1.69,Near
Gliese 661,,9.52,5.98,10.64,0.73,Near
LP 658-2,,14.45,6.44,15.41,1.04,Near
V1054 Ophiuchi,,9.02,6.2,10.06,1.57,Near
GJ 1128,,12.78,6.5,13.71,1.73,Near
Gliese 625,,10.07,6.47,11.01,1.71,Near
GL Virginis,,13.9,6.47,14.84,1.78,Near
HR 8832,,5.57,6.53,6.49,0.99,Both
Ross 104,,10.02,6.75,10.87,1.56,Near
Xi Bootis,,4.59,6.71,5.46,0.78,Both
Gliese 829,,10.3,6.77,11.15,1.63,Near
Gliese 299,,12.83,6.87,13.64,1.77,Near
EE Leonis,,11.68,6.97,12.46,1.64,Near
G 41-14,,10.98,6.77,11.83,1.64,Near
Gliese 880,,8.64,6.87,9.46,1.5,Near
GJ 1068,,13.58,7.11,14.32,1.93,Near
L 369-44,,12.65,7,13.42,1.69,Near
Gliese 393,,9.65,7.03,10.41,1.5,Near
Gliese 667,,5.89,6.84,6.72,1.04,Both
Gliese 105,,5.82,7.73,6.38,0.98,Both
SCR J0740-4257,,13.84,8,14.33,1.66,Near
GJ 1286,,14.69,7.18,15.41,1.91,Near
GJ 4274,,13.3,7.24,14,1.79,Near
GJ 3991,,13.67,7.43,14.32,-0.21,Near
HD 4628,,5.74,7.43,6.38,0.9,Both
Beta Hydri,,2.79,7.46,3.43,0.62,Both
VX Arietis,,10.56,7.68,11.13,1.58,Near
107 Piscium,,5.24,7.61,5.83,0.84,Both
